Categoria,Marca,Modelo,Versão,Motor,"Transmissão
Médio,Citroën,DS4,So Chic,"1.6 THP
16v",A-6,S,E-H,G,"0,007","0,100","0,025",A,\,125,\,\,"9,9","12,4","2,01",D,C,-,6,2017
Médio,Peugeot,308,Griffe THP A / Allure THP A,"1.6 THP
16V Flex",A-6,S,E-H,F,"0,013","0,153","0,015",A,0,116,"7,2","8,9","10,6","12,9","1,90",D,C,-,6,2017
Médio,Peugeot,308,Allure MT,1.6 16v,M-5,S,E-H,F,"0,019","0,683","0,035",B,0,118,"7,4","8,6","10,7","12,2","1,91",D,C,-,6,2017
Médio,Hyundai,HB20S (2017),Plus / Style,1.0-12V,M-5,S,H,F,"0,011","0,363","0,005",A,0,103,"8,5","9,8","12,0","14,0","1,67",C,B,-,6,2017
Médio,Hyundai,HB20S (2017),Plus / Style,1.6-16V,M-6,S,H,F,"0,015","0,302","0,012",B,0,107,"8,1","9,8","11,5","14,0","1,72",C,B,-,6,2017
Médio,Hyundai,HB20S,Plus / Style / Premium,1.6-16V,A-6,S,H,F,"0,018","0,271","0,020",B,0,120,"7,0","9,3","10,2","12,9","1,93",D,C,-,6,2017
Médio,Hyundai,HB20S,Plus / Style,"1.0-12V
Turbo",M-6,S,H,F,"0,007","0,241","0,014",A,0,101,"8,4","10,5","11,9","15,2","1,63",B,B,-,6,2017
Médio,TOYOTA,ETIOS SEDÃ,X / XS / XLS / PLATINUM,1.5-16V,M-6,S,E,F,"0,021","0,540","0,010",B,0,98,"8,5","10,3","12,5","15,0","1,60",B,B,-,6,2017
Médio,TOYOTA,ETIOS SEDÃ,X / XS / XLS / PLATINUM,1.5-16V,A-4,S,E,F,"0,021","0,406","0,010",B,0,100,"8,4","10,4","12,2","14,9","1,63",B,B,-,6,2017
Médio,TOYOTA,PRIUS,NGA / NGA Top,1.8-16V,CVT,S,E,G,"0,006","0,038","0,006",A,\,71,\,\,"18,9","17,0","1,15",A,A,SIM,6,2017
Médio,LEXUS,CT200H,CT200H / F SPORT,1.8-16V,CVT,S,E,G,"0,016","0,158","0,003",A,\,87,\,\,"15,7","14,2","1,41",A,A,SIM,6,2017
