categoria,marca,modelo,motor,versao,transmissao,ar_condicionado,direcao,combustivel,km_etanol_cidade,km_etanol_estrada,km_gasolina_cidade,km_gasolina_estrada,ano
MÉDIO,CHEVROLET,Onix,1.0­12V Turbo,LTZ,A­6,S,E,F,"8,3","10,7","11,9","15,1",2020
MÉDIO,CHEVROLET,Onix,1.0­12V Turbo,4LT,A­6,S,E,F,"8,3","10,7","11,9","15,1",2020
MÉDIO,CHEVROLET,Onix,1.0­12V Turbo,2LS,A­6,S,E,F,"8,3","10,7","11,9","15,1",2020
MÉDIO,CHEVROLET,Onix,1.0­12V,2LT,M­6,S,E,F,"9,9","11,7","13,9","16,7",2020
MÉDIO,CHEVROLET,Onix,1.0­12V,8LT,M­6,S,E,F,"9,9","11,7","13,9","16,7",2020
MÉDIO,CHEVROLET,Onix,1.0­12V,5LT,M­6,S,E,F,"9,9","11,7","13,9","16,7",2020
MÉDIO,CHEVROLET,Onix,1.0­12V,1LT,M­6,S,E,F,"9,9","11,7","13,9","16,7",2020
MÉDIO,CHEVROLET,Onix,1.0­12V,1LS,M­6,S,E,F,"9,9","11,7","13,9","16,7",2020
MÉDIO,CHEVROLET,Onix,1.0­12V Turbo,3LT,M­6,S,E,F,"9,4","11,2","13,5","16,0",2020
MÉDIO,CHEVROLET,Onix,1.0­12V Turbo,LTZ,M­6,S,E,F,"9,4","11,2","13,5","16,0",2020
MÉDIO,CHEVROLET,Onix Plus,1.0­12V Turbo,LTZ,M­6,S,E,F,"9,6","12,2","13,7","17,0",2020
MÉDIO,CHEVROLET,Onix Plus,1.0­12V Turbo,3LT,M­6,S,E,F,"9,6","12,2","13,7","17,0",2020
MÉDIO,CHEVROLET,Onix Plus,1.0­12V Turbo,PR2,A­6,S,E,F,"8,6","10,9","12,0","15,0",2020
MÉDIO,CHEVROLET,Onix Plus,1.0­12V Turbo,PR1,A­6,S,E,F,"8,6","10,9","12,0","15,0",2020
